2026-05-14 15:29:52.362 -03:00 [WRN] Failed to determine the https port for redirect.
2026-05-14 15:29:52.463 -03:00 [INF] HTTP POST /api/auth/login responded 401 in 102.4708 ms
2026-05-14 15:29:52.827 -03:00 [INF] HTTP POST /api/auth/login responded 200 in 98.7865 ms
2026-05-14 15:29:52.907 -03:00 [INF] HTTP GET /api/requisitions responded 200 in 58.0919 ms
2026-05-14 15:29:53.318 -03:00 [INF] HTTP POST /api/auth/login responded 200 in 40.2070 ms
2026-05-14 15:29:53.336 -03:00 [INF] HTTP GET /api/requisitions responded 200 in 3.3384 ms
2026-05-14 15:30:11.716 -03:00 [INF] HTTP POST /api/auth/login responded 200 in 38.3657 ms
2026-05-14 15:30:11.738 -03:00 [INF] HTTP GET /api/requisitions responded 200 in 2.5440 ms
2026-05-14 15:30:11.834 -03:00 [INF] HTTP GET /api/requisitions responded 200 in 1.7232 ms
2026-05-14 15:30:11.976 -03:00 [INF] HTTP POST /api/requisitions responded 201 in 51.3057 ms
2026-05-14 15:30:11.983 -03:00 [INF] HTTP GET /api/requisitions responded 200 in 2.1743 ms
2026-05-14 15:30:12.348 -03:00 [INF] HTTP POST /api/auth/login responded 200 in 37.7878 ms
2026-05-14 15:30:12.368 -03:00 [INF] HTTP GET /api/requisitions responded 200 in 1.1481 ms
2026-05-14 15:30:12.520 -03:00 [INF] HTTP POST /api/requisitions responded 201 in 11.3080 ms
2026-05-14 15:30:12.529 -03:00 [INF] HTTP GET /api/requisitions responded 200 in 1.1261 ms
2026-05-14 15:30:12.619 -03:00 [INF] HTTP GET /api/requisitions/ccc9c336-465f-40c4-8e5c-f013e619280a responded 200 in 26.7651 ms
2026-05-14 15:30:12.645 -03:00 [INF] HTTP PUT /api/requisitions/ccc9c336-465f-40c4-8e5c-f013e619280a responded 204 in 3.0470 ms
2026-05-14 15:30:12.658 -03:00 [INF] HTTP GET /api/requisitions responded 200 in 1.0825 ms
2026-05-14 15:30:18.064 -03:00 [INF] HTTP POST /api/auth/login responded 200 in 38.3076 ms
2026-05-14 15:30:18.084 -03:00 [INF] HTTP GET /api/requisitions responded 200 in 0.9960 ms
2026-05-14 15:30:18.226 -03:00 [INF] HTTP POST /api/requisitions responded 201 in 1.5509 ms
2026-05-14 15:30:18.244 -03:00 [INF] HTTP GET /api/requisitions responded 200 in 1.0216 ms
2026-05-14 15:30:18.301 -03:00 [INF] HTTP POST /api/requisitions/cd72b1d9-4e15-4fae-b7da-2e588bdd60aa/finalize responded 204 in 4.3013 ms
2026-05-14 15:30:18.308 -03:00 [INF] HTTP GET /api/requisitions responded 200 in 2.3187 ms
2026-05-14 15:30:18.613 -03:00 [INF] HTTP POST /api/auth/login responded 200 in 37.2169 ms
2026-05-14 15:30:18.633 -03:00 [INF] HTTP GET /api/requisitions responded 200 in 1.1333 ms
2026-05-14 15:30:18.759 -03:00 [INF] HTTP POST /api/requisitions responded 201 in 1.5750 ms
2026-05-14 15:30:18.777 -03:00 [INF] HTTP GET /api/requisitions responded 200 in 0.9452 ms
2026-05-14 15:30:18.828 -03:00 [INF] HTTP POST /api/requisitions/4b314e58-eb39-4811-84d8-ca30ca11631b/finalize responded 204 in 1.9602 ms
2026-05-14 15:30:18.840 -03:00 [INF] HTTP GET /api/requisitions responded 200 in 0.9315 ms
2026-05-14 15:30:18.895 -03:00 [INF] HTTP POST /api/requisitions/4b314e58-eb39-4811-84d8-ca30ca11631b/close responded 204 in 3.0407 ms
2026-05-14 15:30:18.907 -03:00 [INF] HTTP GET /api/requisitions responded 200 in 0.9944 ms
2026-05-14 15:30:19.213 -03:00 [INF] HTTP POST /api/auth/login responded 200 in 38.0187 ms
2026-05-14 15:30:19.233 -03:00 [INF] HTTP GET /api/requisitions responded 200 in 1.0614 ms
2026-05-14 15:30:19.376 -03:00 [INF] HTTP POST /api/requisitions responded 201 in 1.3391 ms
2026-05-14 15:30:19.393 -03:00 [INF] HTTP GET /api/requisitions responded 200 in 0.9507 ms
2026-05-14 15:30:19.443 -03:00 [INF] HTTP POST /api/requisitions/3c4445b2-001f-44f3-a870-cd4192f807b8/finalize responded 204 in 1.8281 ms
2026-05-14 15:30:19.457 -03:00 [INF] HTTP GET /api/requisitions responded 200 in 0.9268 ms
